agent,flops_step,memory_bytes,t
kl_ucb:kl_ucb,1,0,1
kl_ucb:kl_ucb,1,0,2
kl_ucb:kl_ucb,1,0,3
kl_ucb:kl_ucb,1,0,4
kl_ucb:kl_ucb,1,0,5
kl_ucb:kl_ucb,1,0,6
kl_ucb:kl_ucb,1,0,7
kl_ucb:kl_ucb,1,0,8
kl_ucb:kl_ucb,1,0,9
kl_ucb:kl_ucb,1,0,10
kl_ucb:kl_ucb,1,0,11
kl_ucb:kl_ucb,1,0,12
kl_ucb:kl_ucb,1,0,13
kl_ucb:kl_ucb,1,0,14
kl_ucb:kl_ucb,1,0,15
kl_ucb:kl_ucb,1,0,16
kl_ucb:kl_ucb,1,0,17
kl_ucb:kl_ucb,1,0,18
kl_ucb:kl_ucb,1,0,19
kl_ucb:kl_ucb,1,0,20
kl_ucb:kl_ucb,1,0,21
kl_ucb:kl_ucb,1,0,22
kl_ucb:kl_ucb,1,0,23
kl_ucb:kl_ucb,1,0,24
kl_ucb:kl_ucb,1,0,25
kl_ucb:kl_ucb,1,0,26
kl_ucb:kl_ucb,1,0,27
kl_ucb:kl_ucb,1,0,28
kl_ucb:kl_ucb,1,0,29
kl_ucb:kl_ucb,1,0,30
kl_ucb:kl_ucb,1,0,31
kl_ucb:kl_ucb,1,0,32
kl_ucb:kl_ucb,1,0,33
kl_ucb:kl_ucb,1,0,34
kl_ucb:kl_ucb,1,0,35
kl_ucb:kl_ucb,1,0,36
kl_ucb:kl_ucb,1,0,37
kl_ucb:kl_ucb,1,0,38
kl_ucb:kl_ucb,1,0,39
kl_ucb:kl_ucb,1,0,40
kl_ucb:kl_ucb,1,0,41
kl_ucb:kl_ucb,1,0,42
kl_ucb:kl_ucb,1,0,43
kl_ucb:kl_ucb,1,0,44
kl_ucb:kl_ucb,1,0,45
kl_ucb:kl_ucb,1,0,46
kl_ucb:kl_ucb,1,0,47
kl_ucb:kl_ucb,1,0,48
kl_ucb:kl_ucb,1,0,49
kl_ucb:kl_ucb,1,0,50
kl_ucb:kl_ucb,1,0,51
kl_ucb:kl_ucb,1,0,52
kl_ucb:kl_ucb,1,0,53
kl_ucb:kl_ucb,1,0,54
kl_ucb:kl_ucb,1,0,55
kl_ucb:kl_ucb,1,0,56
kl_ucb:kl_ucb,1,0,57
kl_ucb:kl_ucb,1,0,58
kl_ucb:kl_ucb,1,0,59
kl_ucb:kl_ucb,1,0,60
kl_ucb:kl_ucb,1,0,61
kl_ucb:kl_ucb,1,0,62
kl_ucb:kl_ucb,1,0,63
kl_ucb:kl_ucb,1,0,64
kl_ucb:kl_ucb,1,0,65
kl_ucb:kl_ucb,1,0,66
kl_ucb:kl_ucb,1,0,67
kl_ucb:kl_ucb,1,0,68
kl_ucb:kl_ucb,1,0,69
kl_ucb:kl_ucb,1,0,70
kl_ucb:kl_ucb,1,0,71
kl_ucb:kl_ucb,1,0,72
kl_ucb:kl_ucb,1,0,73
kl_ucb:kl_ucb,1,0,74
kl_ucb:kl_ucb,1,0,75
kl_ucb:kl_ucb,1,0,76
kl_ucb:kl_ucb,1,0,77
kl_ucb:kl_ucb,1,0,78
kl_ucb:kl_ucb,1,0,79
kl_ucb:kl_ucb,1,0,80
kl_ucb:kl_ucb,1,0,81
kl_ucb:kl_ucb,1,0,82
kl_ucb:kl_ucb,1,0,83
kl_ucb:kl_ucb,1,0,84
kl_ucb:kl_ucb,1,0,85
kl_ucb:kl_ucb,1,0,86
kl_ucb:kl_ucb,1,0,87
kl_ucb:kl_ucb,1,0,88
kl_ucb:kl_ucb,1,0,89
kl_ucb:kl_ucb,1,0,90
kl_ucb:kl_ucb,1,0,91
kl_ucb:kl_ucb,1,0,92
kl_ucb:kl_ucb,1,0,93
kl_ucb:kl_ucb,1,0,94
kl_ucb:kl_ucb,1,0,95
kl_ucb:kl_ucb,1,0,96
kl_ucb:kl_ucb,1,0,97
kl_ucb:kl_ucb,1,0,98
kl_ucb:kl_ucb,1,0,99
kl_ucb:kl_ucb,1,0,100
